"Artist","Song","Популярность в США","Популярность в СНГ"
"Spiritbox","Hysteria","0.22","0.14"
"The Animal in Me","Kill Everybody","0.22","0.08"
"Invent","Unsainted","0.3","0.07"
"The Anix","Through the Glass","0.36","0.03"
"August Burns Red","Afterlife","0.64","0.1"
"One Desire","Animal I have become","0.37","0.1"
"Shezzers","Fever","0.17","0.05"
"Nirvana","Anastasia","0.47","0.12"
"AC/DC","Raining Blood","0","0.05"
"Led Zeppelin","Bleeding","0.38","0.06"
"Deep Purple","Smells like Teen Spirit","0.35","0.1"
"Michael Jackson","Highway to Hell","0.33","0.11"
"Muse","Smoke on the Water","0.7","0.06"
"Skrillex","Brick in the Wall","0.09","0.13"
"Slipknot","You are not Alone","0.29","0.08"
"Stone Sour","Hysteria","0.38","0.12"
"Avenged Sevenfold","Kill Everybody","0","0"
"Three Days Grace","Unsainted","0.59","0.01"
"Bullet for my Valentine","Through the Glass","0","0"
"Slash","Afterlife","0.09","0.02"
"Slayer","Animal I have become","0.37","0.1"
"Five Finger Death Punch","Fever","0.11","0.36"
"Fozzy","Anastasia","0.67","0.05"
"Bon Jovi","Raining Blood","0.36","0.08"
"Motionless in White","Bleeding","0.14","0.14"
"Falling in Reverse","Smells like Teen Spirit","0.61","0.03"
"Metallica","Highway to Hell","0.27","0.04"
"Korn","Smoke on the Water","0.54","0.01"
"IAMX","Brick in the Wall","0.24","0.06"
"Caligula's Horse","You are not Alone","0.31","0.08"
"The Killers","Hysteria","0.16","0.21"
"Halfives","Kill Everybody","0.29","0.13"
"Blueshift","Unsainted","0.48","0.06"
"Soilwork","Through the Glass","0.57","0.09"
"Soul Extract","Afterlife","0.37","0.1"
"Infant Annihilator","Animal I have become","0.28","0.09"
"Red","Fever","0.24","0.08"
"Ocean Grove","Anastasia","0.18","0.14"
"Stigmata","Raining Blood","0.6","0.05"
"Кино","Bleeding","0","0"
"Баста","Smells like Teen Spirit","0.12","0.11"
"Каста","Highway to Hell","0.47","0.07"
"Oxxymiron","Smoke on the Water","0.67","0.06"
"Emmure","Brick in the Wall","0.21","0.54"
"RAMMSTEIN","You are not Alone","0.41","0.14"
"Emograte","Hysteria","0.41","0.11"
"Oomph!","Kill Everybody","0.3","0.05"
"Fit for a King","Unsainted","0.17","0.19"
"Code Orange","Through the Glass","0.47","0.09"
"Aviators","Afterlife","0.41","0.11"
"Kodaline","Animal I have become","0.51","0.07"
"Led Zeppelin","Fever","0.46","0.07"
"Deep Purple","Anastasia","0.36","0.11"
"Michael Jackson","Raining Blood","0.37","0.1"
"Muse","Bleeding","0.63","0.01"
"Ocean Grove","Smells like Teen Spirit","0.43","0.06"
"Stigmata","Highway to Hell","0.3","0.08"
"Кино","Smoke on the Water","0.33","0.12"
"Баста","Brick in the Wall","0.28","0.05"
"Bullet for my Valentine","You are not Alone","0.69","0.06"
"Slash","Hysteria","0.28","0.18"
"Slayer","Kill Everybody","0.48","0.03"
"Five Finger Death Punch","Unsainted","0.32","0.05"
"Fozzy","Through the Glass","0.31","0.13"
"Bon Jovi","Silverstein","0.42","0.07"
"Motionless in White","Apocalyptica","0.31","0.12"
"Falling in Reverse","Captives","0.22","0.06"
"The Killers","Nightwish","0.62","0.1"
"Halfives","Moonspell","0.4","0.07"
"Blueshift","Machine Head","0.46","0.06"
"Soilwork","Machine Head","0.2","0.11"
"Soul Extract","Viscera","0.49","0.09"
"Infant Annihilator","Phantogram","0.29","0.08"
"Red","Ivy Rye","0.55","0.05"
"Ocean Grove","Boston Manor","0.3","0.07"
"Stigmata","PVRIS","0","0"
"Кино","Fever 333","0.36","0.1"
"Баста","Asking Alexandria","0.2","0.09"
"Каста","Bush","0.36","0.1"
"Oxxymiron","He-Nis-Ra","0.42","0.14"
"Motionless in White","Nova Twins","0.36","0.06"
"Falling in Reverse","Kill Everybody","0.41","0.06"
"The Killers","Unsainted","0.67","0.06"
"Halfives","Through the Glass","0.16","0.04"
"Каста","Afterlife","0.42","0.01"
"Oxxymiron","Animal I have become","0.29","0.12"
"Motionless in White","Fever","0.31","0.06"
"Каста","Anastasia","0.22","0.13"
"Oxxymiron","Raining Blood","0.7","0.05"
"Motionless in White","Bleeding","0.68","0.05"
"Каста","Smells like Teen Spirit","0.61","0.03"
"Oxxymiron","Highway to Hell","0.16","0.13"
"Nirvana","Smoke on the Water","0.53","0.01"
"AC/DC","Brick in the Wall","0.36","0.09"
"Led Zeppelin","You are not Alone","0.36","0.08"
"Led Zeppelin","Hysteria","0.41","0.05"
"Deep Purple","Kill Everybody","0.27","0.08"
"Michael Jackson","Unsainted","0.59","0.03"
"Muse","Through the Glass","0.16","0.02"
"Skrillex","Silverstein","0.17","0.15"
"Slipknot","Apocalyptica","0.22","0.14"
"Stone Sour","Captives","0.3","0.07"
"Avenged Sevenfold","Nightwish","0.31","0.02"
"Three Days Grace","Moonspell","0.44","0.04"
"Apocalyptica","Machine Head","0.28","0.08"
"Lumen","Machine Head","0.63","0.06"
"Biffy Clyro","Viscera","0.14","0.05"
"Alazka","Phantogram","0","0"
"Greenday","Ivy Rye","0.4","0.01"
"Ozzy Osbourne","Boston Manor","0.23","0.09"
"Body Count","PVRIS","0","0"
"Heaven Shall Burn","Fever 334","0.55","0.01"
"Blind Channel","Asking Alexandria","0.11","0.09"
"A War Within","Bush","0.63","0.06"
"Mayday Parade","He-Nis-Ra","0.37","0.04"
"Silverstein","Nova Twins","0.41","0.05"
"Apocalyptica","Kill Everybody","0","0"
"Lumen","Unsainted","0.54","0.03"
"Biffy Clyro","Through the Glass","0.68","0.01"
"Alazka","Afterlife","0.61","0.05"
"Greenday","Animal I have become","0.32","0.07"
"Mayday Parade","Fever","0.67","0.05"
"Silverstein","Anastasia","0.23","0.08"
"Apocalyptica","Raining Blood","0.67","0.06"
"Lumen","Bleeding","0","0"
"Mayday Parade","Smells like Teen Spirit","0.54","0.03"
"Silverstein","Highway to Hell","0.47","0.08"
"Apocalyptica","Smoke on the Water","0.52","0.01"
"Five Finger Death Punch","Brick in the Wall","0.47","0.09"
"Fozzy","You are not Alone","0.33","0.08"
"Bon Jovi","Hysteria","0.36","0.09"
"Motionless in White","Kill Everybody","0.52","0.06"
"Falling in Reverse","Unsainted","0.34","0.08"
"Metallica","Through the Glass","0.38","0.06"
"Korn","Silverstein","0.16","0.01"
"IAMX","Apocalyptica","0.56","0.02"
"Caligula's Horse","Captives","0.26","0.1"
"Каста","Nightwish","0.35","0.07"
"Oxxymiron","Moonspell","0.52","0.01"
"Nirvana","Machine Head","0.6","0.1"
"AC/DC","Machine Head","0.19","0.08"
"Led Zeppelin","Viscera","0","0"
"Led Zeppelin","Phantogram","0.32","0.1"
"Deep Purple","Ivy Rye","0","0.05"
"Michael Jackson","Boston Manor","0.4","0.05"
"Muse","PVRIS","0.59","0.1"
"Skrillex","Fever 335","0.53","0.03"
"Slipknot","Asking Alexandria","0.6","0.1"
"Stone Sour","Bush","0.4","0.05"
"Avenged Sevenfold","He-Nis-Ra","0","0.02"
"Three Days Grace","Nova Twins","0.35","0.07"
"Apocalyptica","Kill Everybody","0.67","0.05"
"Lumen","Unsainted","0.4","0.05"
"Biffy Clyro","Through the Glass","0.35","0.06"
"Alazka","Afterlife","0.35","0.09"
"Greenday","Animal I have become","0.67","0.01"
"Ozzy Osbourne","Fever","0.18","0.13"
"Body Count","Anastasia","0.23","0.18"
"Heaven Shall Burn","Raining Blood","0.62","0.06"
"Blind Channel","Bleeding","0.51","0.01"
"A War Within","Smells like Teen Spirit","0.25","0.08"
"Mayday Parade","Highway to Hell","0.66","0.05"
"Silverstein","Smoke on the Water","0.26","0.04"
"Apocalyptica","Brick in the Wall","0.05","0.01"
"Lumen","You are not Alone","0.3","0.07"
"Biffy Clyro","Hysteria","0.4","0.05"
"Alazka","Kill Everybody","0.13","0.09"
"Greenday","Unsainted","0","0.03"
"Michael Jackson","Through the Glass","0.19","0"
"Muse","Silverstein","0.45","0.03"
"Skrillex","Apocalyptica","0.67","0.03"
"Slipknot","Captives","0.18","0.02"
"Stone Sour","Nightwish","0.66","0.05"
"Avenged Sevenfold","Moonspell","0.42","0.06"
"Three Days Grace","Machine Head","0.16","0.06"
"Bullet for my Valentine","Machine Head","0.35","0.09"
"Slash","Viscera","0.17","0.14"
"Slayer","Phantogram","0.23","0.05"
"Five Finger Death Punch","Ivy Rye","0.18","0.04"
"Fozzy","Boston Manor","0.35","0.09"
"Bon Jovi","PVRIS","0.33","0.04"
"Motionless in White","Fever 336","0.6","0.07"
"Falling in Reverse","Asking Alexandria","0.55","0.02"
"Metallica","Bush","0.4","0.05"
"Korn","He-Nis-Ra","0.49","0.02"
"IAMX","Nova Twins","0.35","0.09"
"Oxxymiron","Kill Everybody","0.65","0.06"
"Nirvana","Unsainted","0.29","0.11"
"AC/DC","Through the Glass","0.49","0.02"
"Led Zeppelin","Afterlife","0.42","0.07"
"Led Zeppelin","Animal I have become","0.66","0.05"
"Deep Purple","Fever","0.55","0.02"
"Michael Jackson","Anastasia","0.51","0.01"
"Muse","Raining Blood","0.35","0.09"
"Skrillex","Bleeding","0","0"
"Slipknot","Smells like Teen Spirit","0.51","0.01"
"Stone Sour","Highway to Hell","0.57","0.01"
"Avenged Sevenfold","Smoke on the Water","0.39","0.06"
"Alazka","Brick in the Wall","0.14","0.19"
"Greenday","You are not Alone","0","0"
"Ozzy Osbourne","Hysteria","0.2","0.02"
"Body Count","Kill Everybody","0","0.1"
"Heaven Shall Burn","Unsainted","0.15","0.05"
"Blind Channel","Through the Glass","0.22","0.17"
"A War Within","Silverstein","0.39","0.05"
"Mayday Parade","Apocalyptica","0.39","0.05"
"Silverstein","Smells like Teen Spirit","0.37","0.06"
"Apocalyptica","Highway to Hell","0.41","0.07"
"Captives","Smoke on the Water","0.53","0.03"
"Nightwish","Brick in the Wall","0.65","0.05"
"Moonspell","You are not Alone","0.5","0.07"
"Machine Head","Hysteria","0.3","0.11"
"Machine Head","Kill Everybody","0.35","0.14"
"Viscera","Unsainted","0.15","0.16"
"Phantogram","Through the Glass","0.06","0.15"
"Ivy Rye","Afterlife","0.55","0.05"
"Boston Manor","Animal I have become","0.54","0.02"
"PVRIS","Fever","0.34","0.06"
"Fever 336","Anastasia","0","0"
"Asking Alexandria","Raining Blood","0.39","0.05"
"Bush","Bleeding","0.32","0.07"
"He-Nis-Ra","Sandpaper","0.52","0.02"
"Nova Twins","It's My Life","0.65","0.05"
"Nirvana","Headache","0.34","0.09"
"AC/DC","Silence","0.54","0.06"
"Led Zeppelin","One","0.54","0.02"
"Deep Purple","Cold","0.5","0.01"
"Michael Jackson","Solway Firth","0.34","0.09"
"Muse","Why not?","0.39","0.05"
"Skrillex","Stop it","0.48","0.03"
"Slipknot","I can't take this anymore","0.28","0.12"
"Stone Sour","Snow","0.39","0.06"
"Avenged Sevenfold","Hello","0.39","0.06"
"Three Days Grace","Here we go again","0.19","0.13"
"Bullet for my Valentine","Incredible","0.04","0.05"
"Slash","Summer","0.5","0.01"
"Slayer","Cold Reader","0.38","0.07"
"Five Finger Death Punch","Well","0.43","0.06"
"Fozzy","Группа крови","0.52","0.05"
"Bon Jovi","Мама","0.34","0.09"
"Motionless in White","Вокруг шум","0.34","0.1"
"Falling in Reverse","А я и не знал","0.13","0.16"
"Metallica","WTF?","0.39","0.05"
"Korn","Deutschland","0.34","0.09"
"IAMX","New-York","0.16","0.04"
"Caligula's Horse","Clown","0.21","0.08"
"The Killers","Nice boobs","0.34","0.09"
"Halfives","I don't want this","0.38","0.06"
"Blueshift","Anymore","0.64","0.05"
"Soilwork","Rufuss","0.37","0.01"
"Soul Extract","Mann","0","0"
"Infant Annihilator","Stupid things","0.5","0.01"
"Red","You're strange","0.65","0.01"
"Ocean Grove","Zombie","0.38","0.06"
"Stigmata","Plague","0.28","0.05"
"Кино","No more","0.42","0.06"
"Баста","Спокойная ночь","0.26","0.17"
"Каста","Моя игра","0.47","0.05"
"Oxxymiron","Smells like Teen Spirit","0.54","0.06"
"Emmure","Highway to Hell","0.3","0.07"
"RAMMSTEIN","Smoke on the Water","0.39","0.05"
"Emograte","Brick in the Wall","0.54","0.02"
"Oomph!","You are not Alone","0.25","0.11"
"Fit for a King","Hysteria","0.58","0.09"
"Code Orange","Kill Everybody","0.64","0.05"
"Aviators","Unsainted","0.24","0.12"
"Kodaline","Through the Glass","0.5","0.01"
"Led Zeppelin","Afterlife","0","0"
"Deep Purple","Animal I have become","0","0"
"Michael Jackson","Fever","0.53","0.02"
"Muse","Anastasia","0.38","0.05"
"Ocean Grove","Raining Blood","0.52","0.07"
"Stigmata","Bleeding","0","0.07"
"Кино","Sandpaper","0.22","0.1"
"Баста","It's My Life","0.53","0.02"
"Bullet for my Valentine","Headache","0.2","0.13"
"Slash","Silence","0.53","0.02"
"Slayer","One","0.01","0.04"
"Five Finger Death Punch","Cold","0.55","0.06"
"Fozzy","Solway Firth","0.25","0.06"
"Bon Jovi","Why not?","0.28","0.06"
"Motionless in White","Stop it","0.27","0.1"
"Falling in Reverse","I can't take this anymore","0.34","0.09"
"The Killers","Snow","0.49","0.01"
"Halfives","Hello","0.39","0.06"
"Blueshift","Here we go again","0.34","0.02"
"Soilwork","Incredible","0.6","0.05"
"Soul Extract","Summer","0.38","0.04"
"Infant Annihilator","Cold Reader","0.32","0.04"
"Red","Well","0.62","0.02"
"Ocean Grove","Группа крови","0.32","0.11"
"Stigmata","Мама","0.21","0.11"
"Кино","Вокруг шум","0.26","0.12"
"Баста","А я и не знал","0.63","0.03"
"Каста","WTF?","0.38","0.04"
"Oxxymiron","Deutschland","0.26","0.06"
"Motionless in White","New-York","0.53","0.02"
"Falling in Reverse","Clown","0.57","0.09"
"The Killers","Nice boobs","0.21","0.08"
"Halfives","I don't want this","0.22","0.12"
"Каста","Anymore","0.32","0.02"
"Oxxymiron","Rufuss","0.54","0.03"
"Motionless in White","Mann","0.22","0.13"
"Каста","Stupid things","0.39","0.06"
"Oxxymiron","You're strange","0.25","0.04"
"Motionless in White","Zombie","0.15","0.04"
"Каста","Plague","0.3","0.06"
"Oxxymiron","No more","0.63","0.05"
"Nirvana","Спокойная ночь","0.29","0.01"
"AC/DC","Моя игра","0.19","0.05"
"Led Zeppelin","Smells like Teen Spirit","0.55","0.05"
"Led Zeppelin","Highway to Hell","0.51","0.02"
"Deep Purple","Smoke on the Water","0.28","0.07"
"Michael Jackson","Brick in the Wall","0","0.09"
"Muse","You are not Alone","0.23","0.06"
"Skrillex","Hysteria","0.59","0.04"
"Slipknot","Kill Everybody","0.35","0.1"
"Stone Sour","Unsainted","0.33","0.09"
"Avenged Sevenfold","Through the Glass","0.13","0.02"
"Three Days Grace","Afterlife","0.33","0.11"
"Apocalyptica","Animal I have become","0.22","0.02"
"Lumen","Fever","0.49","0.02"
"Biffy Clyro","Anastasia","0.45","0.05"
"Alazka","Raining Blood","0.26","0.09"
"Greenday","Bleeding","0.2","0.13"
"Ozzy Osbourne","Sandpaper","0.37","0.04"
"Body Count","It's My Life","0.4","0.06"
"Heaven Shall Burn","Headache","0.37","0.04"
"Blind Channel","Silence","0.35","0.1"
"A War Within","One","0.46","0.03"
"Mayday Parade","Cold","0.33","0.06"
"Silverstein","Solway Firth","0.49","0.05"
"Apocalyptica","Why not?","0","0"
"Lumen","Stop it","0.37","0.04"
"Biffy Clyro","I can't take this anymore","0.48","0.02"
"Alazka","Snow","0.22","0.06"
"Greenday","Hello","0.27","0.07"
"Mayday Parade","Here we go again","0","0"
"Silverstein","Incredible","0.2","0.05"
"Apocalyptica","Summer","0.16","0.14"
"Lumen","Cold Reader","0.24","0.11"
"Mayday Parade","Well","0.22","0.16"
"Silverstein","Группа крови","0.44","0.07"
"Apocalyptica","Мама","0.19","0.04"
"Five Finger Death Punch","Вокруг шум","0","0.01"
"Fozzy","А я и не знал","0.42","0.05"
"Bon Jovi","WTF?","0.28","0.08"
"Motionless in White","Deutschland","0.23","0.11"
"Falling in Reverse","New-York","0.18","0.08"
"Metallica","Clown","0.4","0.05"
"Korn","Nice boobs","0.3","0.07"
"IAMX","I don't want this","0.56","0.05"
"Caligula's Horse","Anymore","0.01","0.02"
"Каста","Rufuss","0.33","0.09"
"Oxxymiron","Mann","0.33","0.14"
"Nirvana","Stupid things","0","0.09"
"AC/DC","You're strange","0.63","0.01"
"Led Zeppelin","Zombie","0.33","0.04"
"Led Zeppelin","Plague","0.51","0.05"
"Deep Purple","No more","0.25","0.11"
"Michael Jackson","Спокойная ночь","0.01","0.12"
"Muse","Моя игра","0.48","0.01"
"Skrillex","Smells like Teen Spirit","0","0"
"Slipknot","Highway to Hell","0.37","0.04"
"Stone Sour","Smoke on the Water","0.49","0.02"
"Avenged Sevenfold","Brick in the Wall","0.31","0.1"
"Three Days Grace","You are not Alone","0.35","0.06"
"Apocalyptica","Hysteria","0.55","0.09"
"Lumen","Kill Everybody","0.32","0.08"
"Biffy Clyro","Unsainted","0.26","0.26"
"Alazka","Through the Glass","0.37","0.04"
"Greenday","Afterlife","0.37","0.04"
"Ozzy Osbourne","Animal I have become","0.32","0.08"
"Body Count","Fever","0.48","0.02"
"Heaven Shall Burn","Anastasia","0.55","0.09"
"Blind Channel","Raining Blood","0.51","0.06"
"A War Within","Bleeding","0","0"
"Mayday Parade","Smells like Teen Spirit","0.52","0.02"
"Silverstein","Highway to Hell","0","0"
"Apocalyptica","Smoke on the Water","0","0.02"
"Lumen","Brick in the Wall","0.47","0.01"
"Biffy Clyro","You are not Alone","0.14","0.14"
"Alazka","Hysteria","0.35","0.07"
"Greenday","Kill Everybody","0.32","0.08"
"Michael Jackson","Unsainted","0.37","0.04"
"Muse","Through the Glass","0.02","0.12"
"Skrillex","Afterlife","0.06","0.02"
"Slipknot","Animal I have become","0.28","0.03"
"Stone Sour","Fever","0.27","0.14"
"Avenged Sevenfold","Anastasia","0.43","0.03"
"Three Days Grace","Raining Blood","0.34","0.1"
"Bullet for my Valentine","Bleeding","0.62","0.01"
"Slash","Smells like Teen Spirit","0.15","0.16"
"Slayer","Highway to Hell","0.29","0.04"
"Five Finger Death Punch","Smoke on the Water","0.47","0.01"
"Fozzy","Brick in the Wall","0.17","0.05"
"Bon Jovi","You are not Alone","0.03","0"
"Motionless in White","Hysteria","0.47","0.01"
"Falling in Reverse","Kill Everybody","0.12","0.04"
"Metallica","Unsainted","0.49","0.02"
"Korn","Through the Glass","0.5","0.08"
"IAMX","Afterlife","0.23","0.16"
"Oxxymiron","Animal I have become","0","0"
"Nirvana","Fever","0.09","0.09"
"AC/DC","Anastasia","0.33","0.07"
"Led Zeppelin","Raining Blood","0.36","0.04"
"Led Zeppelin","Bleeding","0.38","0.06"
"Deep Purple","Smells like Teen Spirit","0.33","0.1"
"Michael Jackson","Highway to Hell","0.24","0.41"
"Muse","Smoke on the Water","0.32","0.1"
"Skrillex","Brick in the Wall","0.35","0.05"
"Slipknot","You are not Alone","0.35","0.07"
"Stone Sour","Hysteria","0.18","0.05"
"Avenged Sevenfold","Kill Everybody","0.41","0.02"
"Alazka","Unsainted","0.32","0.08"
"Greenday","Through the Glass","0.29","0.14"
"Ozzy Osbourne","Afterlife","0.25","0.01"
"Body Count","Animal I have become","0.31","0.07"
"Heaven Shall Burn","Fever","0.32","0.08"
"Blind Channel","Anastasia","0.56","0.05"
"A War Within","Raining Blood","0.47","0.01"
"Mayday Parade","Bleeding","0.02","0.04"
"Silverstein","Smells like Teen Spirit","0.45","0.06"
"Apocalyptica","Highway to Hell","0.58","0.07"
"Captives","Smoke on the Water","0.39","0.06"
"Nightwish","Brick in the Wall","0.47","0.01"
"Moonspell","You are not Alone","0.31","0.03"
"Machine Head","Hysteria","0.36","0.04"
"Machine Head","Kill Everybody","0.19","0.05"
"Viscera","Unsainted","0","0.15"
"Phantogram","Through the Glass","0.6","0.01"
"Ivy Rye","Silverstein","0.32","0.08"
"Boston Manor","Apocalyptica","0.54","0.09"
"PVRIS","Captives","0","0.6"
"Fever 337","Nightwish","0.36","0.04"
"Asking Alexandria","Moonspell","0.35","0.12"
"Bush","Machine Head","0.5","0.05"
"He-Nis-Ra","Machine Head","0.23","0.07"
"Nova Twins","Viscera","0.2","0.09"
"Nirvana","Phantogram","0","0"
"AC/DC","Ivy Rye","0.26","0.1"
"Led Zeppelin","Boston Manor","0.39","0.06"
"Deep Purple","PVRIS","0","0"
"Michael Jackson","Fever 333","0.17","0.03"
"Muse","Asking Alexandria","0.17","0.09"
"Skrillex","Bush","0.6","0.05"
"Slipknot","He-Nis-Ra","0.13","0.44"
"Stone Sour","Nova Twins","0.46","0.01"
"Avenged Sevenfold","Kill Everybody","0.35","0.05"
"Three Days Grace","Unsainted","0.32","0.08"
"Bullet for my Valentine","Through the Glass","0.25","0.15"
"Slash","Afterlife","0.2","0.13"
"Slayer","Animal I have become","0.32","0.08"
"Five Finger Death Punch","Fever","0.16","0.12"
"Fozzy","Anastasia","0.47","0.02"
"Bon Jovi","Raining Blood","0.49","0.05"
"Motionless in White","Bleeding","0.54","0.09"
"Falling in Reverse","Smells like Teen Spirit","0.54","0.07"
"Metallica","Highway to Hell","0.31","0.09"
"Korn","Smoke on the Water","0.36","0.05"
"IAMX","Brick in the Wall","0.23","0.06"
"Caligula's Horse","You are not Alone","0.25","0.1"
"The Killers","Hysteria","0.43","0.02"
"Halfives","Kill Everybody","0.31","0.08"
"Blueshift","Unsainted","0.25","0.07"
"Soilwork","Through the Glass","0.57","0.03"
"Soul Extract","Silverstein","0.23","0.09"
"Infant Annihilator","Apocalyptica","0.55","0.05"
"Red","Captives","0.48","0.01"
"Ocean Grove","Nightwish","0.44","0.05"
"Stigmata","Moonspell","0.4","0.02"
"Кино","Machine Head","0.46","0.01"
"Баста","Machine Head","0.37","0.06"
"Каста","Viscera","0.29","0.01"
"Oxxymiron","Phantogram","0.15","0.04"
"Emmure","Ivy Rye","0.17","0.07"
"RAMMSTEIN","Boston Manor","0.41","0.06"
"Emograte","PVRIS","0.07","0.14"
"Oomph!","Fever 334","0.46","0.01"
"Fit for a King","Asking Alexandria","0.26","0.1"
"Code Orange","Bush","0.46","0.01"
"Aviators","He-Nis-Ra","0.23","0.05"
"Kodaline","Nova Twins","0.25","0.11"
"Led Zeppelin","Kill Everybody","0.31","0.08"
"Deep Purple","Unsainted","0.22","0.1"
"Michael Jackson","Through the Glass","0.07","0.14"
"Muse","Afterlife","0.59","0.01"
"Ocean Grove","Animal I have become","0.6","0.01"
"Stigmata","Fever","0.56","0.05"
"Кино","Anastasia","0.46","0.05"
"Баста","Raining Blood","0.2","0.06"
"Bullet for my Valentine","Bleeding","0.45","0.05"
"Slash","Smells like Teen Spirit","0.31","0.08"
"Slayer","Highway to Hell","0.2","0.1"
"Five Finger Death Punch","Smoke on the Water","0.59","0.04"
"Fozzy","Brick in the Wall","0.36","0.06"
"Bon Jovi","You are not Alone","0.53","0.09"
"Motionless in White","Hysteria","0.35","0.04"
"Falling in Reverse","Kill Everybody","0.08","0.44"
"The Killers","Unsainted","0.41","0.06"
"Halfives","Through the Glass","0.01","0.15"
"Blueshift","Silverstein","0.22","0.07"
"Soilwork","Apocalyptica","0.41","0.03"
"Soul Extract","Captives","0.35","0.04"
"Infant Annihilator","Nightwish","0.2","0.04"
"Red","Moonspell","0.43","0.06"
"Ocean Grove","Machine Head","0","0"
"Stigmata","Machine Head","0.53","0.09"
"Кино","Viscera","0.3","0.1"
"Баста","Phantogram","0.45","0.01"
"Каста","Ivy Rye","0.3","0.09"
"Oxxymiron","Boston Manor","0.28","0.1"
"Motionless in White","PVRIS","0.46","0.09"
"Falling in Reverse","Fever 335","0","0"
"The Killers","Asking Alexandria","0.21","0.07"
"Halfives","Bush","0.49","0.01"
"Каста","He-Nis-Ra","0.32","0.01"
"Oxxymiron","Nova Twins","0.49","0.04"
"Motionless in White","Kill Everybody","0.38","0.05"
"Каста","Unsainted","0.38","0.06"
"Oxxymiron","Through the Glass","0.58","0.05"
"Motionless in White","Afterlife","0","0"
"Каста","Animal I have become","0.33","0.09"
"Oxxymiron","Fever","0.54","0.04"
"Nirvana","Anastasia","0.23","0.1"
"AC/DC","Raining Blood","0.12","0.03"
"Led Zeppelin","Bleeding","0.43","0.14"
"Led Zeppelin","Smells like Teen Spirit","0.58","0.01"
"Deep Purple","Highway to Hell","0.34","0.06"
"Michael Jackson","Smoke on the Water","0.44","0.06"
"Muse","Brick in the Wall","0.4","0"
"Skrillex","You are not Alone","0.24","0.05"
"Slipknot","Hysteria","0.31","0.06"
"Stone Sour","Kill Everybody","0","0"
"Avenged Sevenfold","Unsainted","0.2","0.06"
"Three Days Grace","Through the Glass","0.22","0.05"
"Apocalyptica","Silverstein","0.31","0.08"
"City of Souls","Apocalyptica","0.18","0.04"
"Four Year Strong","Captives","0","0.04"
"Spiritbox","Nightwish","0.4","0.05"
"The Animal in Me","Moonspell","0.11","0.34"
"Invent","Machine Head","0.35","0.04"
"The Anix","Machine Head","0.41","0.05"
"August Burns Red","Viscera","0.35","0.06"
"One Desire","Phantogram","0.22","0.11"
"Shezzers","Ivy Rye","0.26","0.07"
"Nirvana","Boston Manor","0.35","0.04"
"AC/DC","PVRIS","0.48","0.02"
"Led Zeppelin","Fever 336","0.3","0"
"Deep Purple","Asking Alexandria","0","0"
"Michael Jackson","Bush","0.38","0.03"
"Muse","He-Nis-Ra","0.4","0.03"
"Skrillex","Nova Twins","0.35","0.04"
"Slipknot","Kill Everybody","0.3","0.06"
"Stone Sour","Unsainted","0.21","0.09"
"Avenged Sevenfold","Through the Glass","0.16","0.04"
"Three Days Grace","Afterlife","0.35","0.04"
"Bullet for my Valentine","Animal I have become","0.22","0.09"
"Slash","Fever","0.48","0.02"
"Slayer","Anastasia","0.15","0.05"
"Five Finger Death Punch","Raining Blood","0.58","0.01"
"Fozzy","Bleeding","0.47","0.02"
"Bon Jovi","Smells like Teen Spirit","0.29","0.06"
"Motionless in White","Highway to Hell","0.1","0.08"
"Falling in Reverse","Smoke on the Water","0.36","0.06"
"Metallica","Brick in the Wall","0.3","0.08"
"Korn","You are not Alone","0.26","0.09"
"IAMX","Hysteria","0","0.01"
"Caligula's Horse","Kill Everybody","0.35","0.06"
"The Killers","Unsainted","0.38","0.02"
"Halfives","Through the Glass","0.37","0.03"
"Blueshift","Silverstein","0.4","0.02"
"Soilwork","Apocalyptica","0.17","0.09"
"Soul Extract","Here we go again","0.34","0.04"
"Infant Annihilator","Incredible","0.58","0.04"
"Red","Summer","0.3","0.08"
"Ocean Grove","Cold Reader","0.57","0.04"
"Stigmata","Well","0.14","0.06"
"Кино","Группа крови","0.58","0.01"
"Баста","Мама","0.27","0.08"
"Каста","Вокруг шум","0.25","0.14"
"Oxxymiron","А я и не знал","0.21","0.04"
"Emmure","WTF?","0.3","0.08"
"RAMMSTEIN","Deutschland","0","0"
"Emograte","New-York","0.48","0.02"
"Oomph!","Clown","0.34","0.11"
"Fit for a King","Nice boobs","0","0"
"Code Orange","I don't want this","0","0"
"Aviators","Anymore","0.29","0.07"
"Kodaline","Rufuss","0.59","0"
"Led Zeppelin","Mann","0","0"
"Deep Purple","Stupid things","0","0"
"Michael Jackson","You're strange","0.59","0"
"Muse","Zombie","0","0.04"
"Ocean Grove","Plague","0","0"
"Stigmata","No more","0.33","0.04"
"Кино","Спокойная ночь","0.56","0.05"
"Баста","Моя игра","0","0.57"
"Bullet for my Valentine","Smells like Teen Spirit","0.35","0.11"
"Slash","Highway to Hell","0.21","0.11"
"Slayer","Smoke on the Water","0.46","0.02"
"Five Finger Death Punch","Brick in the Wall","0.02","0.01"
"Fozzy","You are not Alone","0.12","0.05"
"Bon Jovi","Hysteria","0.39","0.05"
"Motionless in White","Kill Everybody","0.44","0.01"
"Falling in Reverse","Unsainted","0.3","0.08"
